           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
May 16 15:34:50     75.6     2898264      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:35:57     76.3     4345261      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:37:03     71.0     5346559      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:38:07     61.0     5680618      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:39:09     63.6     7016030      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:40:21     56.4     7349895      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:41:22     59.0     8685584      195    93.7%    193.8     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:43:04     52.6     9241903      195    93.7%    193.8     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:44:22     54.2    10688116      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:45:22     51.5    11020624      195    93.6%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:46:31     53.0    12351294      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:47:37     50.5    12684199      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:48:37     51.9    13903538      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:49:43     49.7    14236634      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:50:45     51.6    15677749      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:52:14     48.8    16010776      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:53:39     49.0    17230383      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:54:43     50.2    18561334      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:55:48     48.7    18893856      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:56:48     48.1    19448031      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:57:49     48.0    20224789      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 15:58:55     48.3    21222813      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:00:02     47.3    21666855      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:01:09     47.8    22775394      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:02:09     47.0    23219344      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:03:15     47.5    24328081      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:04:21     46.5    24660608      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:05:39     47.1    25991577      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:06:40     46.5    26434955      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:07:49     46.7    27433327      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:08:55     46.7    28320079      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:10:06     46.1    28874643      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
May 16 16:11:07     46.5    29872839      195    93.7%    193.7     0.8%     2.8%     0.1%     0.0%     3.3%     0.1%
