"","file_id","apparatus","unit_id","arena","fish_id","bin","zone","time_enter","time_exit","time_in_zone"
"1","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,2,30.621,30.821,0.200000000000003
"2","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,30.821,33.421,2.6
"3","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,4,33.421,33.621,0.200000000000003
"4","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,2,33.621,37.821,4.2
"5","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,4,37.821,38.221,0.399999999999999
"6","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,38.221,40.221,2
"7","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,40.221,40.421,0.200000000000003
"8","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,40.421,40.621,0.200000000000003
"9","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,40.621,40.821,0.199999999999996
"10","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,40.821,43.421,2.6
"11","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,43.421,43.621,0.200000000000003
"12","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,43.621,44.221,0.599999999999994
"13","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,44.221,44.421,0.200000000000003
"14","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,44.421,45.021,0.600000000000001
"15","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,4,45.021,45.421,0.399999999999999
"16","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,45.421,48.421,3
"17","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,48.421,48.621,0.200000000000003
"18","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,48.621,51.821,3.2
"19","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,3,51.821,52.021,0.200000000000003
"20","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,52.021,54.821,2.8
"21","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,2,54.821,60.221,5.4
"22","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,4,60.221,60.421,0.200000000000003
"23","ymaze_inLT-20230404T114856.csv","139","3A843F","1","1",1,1,60.421,62.221,1.8
