"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",1,10,7,19,17,25,20,12,10,16,35,14,9,23,12,1,111,120,231,2,60,0.865800865800866,25.974025974026,51.9480519480519,48.0519480519481
"2","1","2",26,21,13,15,20,25,6,16,21,8,32,6,9,13,16,7,142,112,254,33,57,12.992125984252,22.4409448818898,44.0944881889764,55.9055118110236
"3","1","3",21,18,14,9,18,32,3,10,18,4,36,4,4,8,9,8,125,91,216,29,68,13.4259259259259,31.4814814814815,42.1296296296296,57.8703703703704
"4","1","4",1,7,6,5,6,27,4,9,7,4,28,8,5,9,10,21,65,92,157,22,55,14.0127388535032,35.031847133758,58.5987261146497,41.4012738853503
"5","1","5",0,3,2,2,0,16,6,6,3,1,14,10,4,8,6,1,35,47,82,1,30,1.21951219512195,36.5853658536585,57.3170731707317,42.6829268292683
"6","1","6",1,8,6,5,6,10,4,7,8,3,9,7,5,6,7,5,47,50,97,6,19,6.18556701030928,19.5876288659794,51.5463917525773,48.4536082474227
"7","10","1",0,0,1,0,1,2,1,1,0,1,2,1,1,1,1,2,6,9,15,2,4,13.3333333333333,26.6666666666667,60,40
"8","10","2",39,10,10,3,10,3,2,0,10,3,3,0,2,0,0,0,77,18,95,39,6,41.0526315789474,6.31578947368421,18.9473684210526,81.0526315789474
"9","10","3",60,6,8,0,8,2,2,0,7,2,2,1,1,1,0,0,86,14,100,60,4,60,4,14,86
"10","10","4",73,6,7,0,7,0,0,0,6,1,0,0,0,0,0,0,93,7,100,73,0,73,0,7,93
"11","10","5",73,2,2,0,2,1,0,0,2,0,1,0,0,0,0,0,80,3,83,73,2,87.9518072289157,2.40963855421687,3.6144578313253,96.3855421686747
"12","10","6",66,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,70,1,71,66,0,92.9577464788732,0,1.40845070422535,98.5915492957746
"13","11","1",33,3,2,1,2,0,1,0,4,0,0,0,2,0,0,0,42,6,48,33,0,68.75,0,12.5,87.5
"14","11","2",51,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,54,2,56,51,0,91.0714285714286,0,3.57142857142857,96.4285714285714
"15","11","3",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,52,0,100,0,0,100
"16","11","4",29,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,32,1,33,29,0,87.8787878787879,0,3.03030303030303,96.969696969697
"17","11","5",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,22,0,100,0,0,100
"18","11","6",25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,28,25,0,89.2857142857143,0,0,100
"19","12","1",41,5,5,2,6,1,2,0,5,3,2,0,1,1,0,0,62,12,74,41,3,55.4054054054054,4.05405405405405,16.2162162162162,83.7837837837838
"20","12","2",32,6,7,2,7,4,2,1,6,2,4,2,1,2,1,0,61,18,79,32,8,40.5063291139241,10.126582278481,22.7848101265823,77.2151898734177
"21","12","3",31,8,9,1,9,1,2,1,8,3,1,1,2,1,1,0,62,17,79,31,2,39.2405063291139,2.53164556962025,21.5189873417722,78.4810126582279
"22","12","4",1,1,1,2,1,5,1,6,1,1,5,5,1,6,6,35,18,60,78,36,10,46.1538461538462,12.8205128205128,76.9230769230769,23.0769230769231
"23","12","5",1,1,2,0,0,7,0,8,1,1,6,8,2,6,8,24,19,56,75,25,13,33.3333333333333,17.3333333333333,74.6666666666667,25.3333333333333
"24","12","6",0,1,0,3,1,3,3,3,1,3,3,3,3,3,3,5,14,24,38,5,6,13.1578947368421,15.7894736842105,63.1578947368421,36.8421052631579
"25","13","1",12,4,4,3,3,2,7,6,4,2,1,10,3,9,6,7,41,42,83,19,3,22.8915662650602,3.6144578313253,50.6024096385542,49.3975903614458
"26","13","2",0,0,1,0,0,3,2,9,0,1,2,11,1,10,8,25,15,58,73,25,5,34.2465753424658,6.84931506849315,79.4520547945205,20.5479452054795
"27","13","3",0,1,4,1,3,7,1,2,1,4,7,2,2,2,3,12,19,33,52,12,14,23.0769230769231,26.9230769230769,63.4615384615385,36.5384615384615
"28","13","4",1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,7,4,11,1,2,9.09090909090909,18.1818181818182,36.3636363636364,63.6363636363636
"29","13","5",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,4,5,1,0,20,0,80,20
"30","13","6",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,100,0
"31","14","1",0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,2,2,4,0,1,0,25,50,50
"32","14","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"33","14","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"34","14","4",0,0,1,0,0,2,0,2,0,1,1,2,0,1,1,0,5,6,11,0,3,0,27.2727272727273,54.5454545454545,45.4545454545455
"35","14","5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,3,1,0,33.3333333333333,0,100,0
"36","14","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"37","15","1",2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,2,5,2,1,40,20,40,60
"38","15","2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,100,0,0,100
"39","15","3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100
"40","15","4",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,100
"41","15","5",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,3,0,1,0,33.3333333333333,33.3333333333333,66.6666666666667
"42","15","6",5,6,6,3,6,10,2,2,6,3,10,1,3,1,2,0,40,26,66,5,20,7.57575757575758,30.3030303030303,39.3939393939394,60.6060606060606
"43","16","1",16,3,4,2,5,7,1,2,3,3,9,1,1,2,2,1,40,22,62,17,16,27.4193548387097,25.8064516129032,35.4838709677419,64.5161290322581
"44","16","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"45","16","3",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,3,0,1,0,33.3333333333333,33.3333333333333,66.6666666666667
"46","16","4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,100,0
"47","16","5",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,3,4,0,0,0,0,75,25
"48","16","6",1,2,2,0,1,22,1,1,2,1,21,2,2,0,1,1,30,30,60,2,43,3.33333333333333,71.6666666666667,50,50
"49","17","1",76,7,6,2,6,0,2,0,8,0,0,0,2,0,0,0,99,10,109,76,0,69.7247706422018,0,9.1743119266055,90.8256880733945
"50","17","2",165,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,168,1,169,165,0,97.6331360946746,0,0.591715976331361,99.4082840236686
"51","17","3",145,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,151,2,153,145,0,94.7712418300654,0,1.30718954248366,98.6928104575163
