0,Info,20/1/23 15:01,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,77 78 79 80 81 82 83 84,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
3.248,Info,Arena,2,Enter_Zone,3
3.248,Info,Arena,3,Enter_Zone,4
3.248,Info,Arena,4,Enter_Zone,3
3.248,Info,Arena,6,Enter_Zone,1
3.315,Info,Arena,7,Enter_Zone,2
3.348,Info,Arena,3,Exit_Zone,4
3.348,Info,Arena,3,Enter_Zone,1
3.382,Info,Arena,5,Enter_Zone,2
3.415,Info,Arena,2,Exit_Zone,3
3.415,Info,Arena,2,Enter_Zone,4
3.515,Info,Arena,2,Exit_Zone,4
3.515,Info,Arena,2,Enter_Zone,2
3.915,Info,Arena,1,Enter_Zone,1
3.982,Info,Arena,5,Exit_Zone,2
3.982,Info,Arena,5,Enter_Zone,4
4.182,Info,Arena,5,Exit_Zone,4
4.182,Info,Arena,5,Enter_Zone,3
5.182,Info,Arena,1,Exit_Zone,1
5.182,Info,Arena,1,Enter_Zone,4
5.482,Info,Arena,1,Exit_Zone,4
5.482,Info,Arena,1,Enter_Zone,1
5.715,Info,Arena,2,Exit_Zone,2
5.715,Info,Arena,2,Enter_Zone,4
5.948,Info,Arena,2,Exit_Zone,4
5.948,Info,Arena,2,Enter_Zone,1
6.182,Info,Arena,8,Enter_Zone,1
6.482,Info,Arena,5,Exit_Zone,3
6.482,Info,Arena,5,Enter_Zone,4
6.748,Info,Arena,5,Exit_Zone,4
6.748,Info,Arena,5,Enter_Zone,1
7.115,Info,Arena,8,Exit_Zone,1
7.115,Info,Arena,8,Enter_Zone,4
7.281,Info,Arena,6,Exit_Zone,1
7.281,Info,Arena,6,Enter_Zone,4
7.315,Info,Arena,5,Exit_Zone,1
7.315,Info,Arena,5,Enter_Zone,4
7.481,Info,Arena,7,Exit_Zone,2
7.481,Info,Arena,7,Enter_Zone,1
7.481,Info,Arena,8,Exit_Zone,4
7.481,Info,Arena,8,Enter_Zone,3
7.548,Info,Arena,5,Exit_Zone,4
7.548,Info,Arena,5,Enter_Zone,2
7.581,Info,Arena,6,Exit_Zone,4
7.581,Info,Arena,6,Enter_Zone,1
8.548,Info,Arena,4,Exit_Zone,3
8.548,Info,Arena,4,Enter_Zone,4
8.715,Info,Arena,2,Exit_Zone,1
8.715,Info,Arena,2,Enter_Zone,4
8.981,Info,Arena,2,Exit_Zone,4
8.981,Info,Arena,2,Enter_Zone,3
9.015,Info,Arena,4,Exit_Zone,4
9.015,Info,Arena,4,Enter_Zone,2
9.715,Info,Arena,8,Exit_Zone,3
9.715,Info,Arena,8,Enter_Zone,4
10.148,Info,Arena,8,Exit_Zone,4
10.148,Info,Arena,8,Enter_Zone,3
10.181,Info,Arena,7,Exit_Zone,1
10.181,Info,Arena,7,Enter_Zone,4
10.815,Info,Arena,3,Exit_Zone,1
10.815,Info,Arena,3,Enter_Zone,4
11.014,Info,Arena,3,Exit_Zone,4
11.014,Info,Arena,3,Enter_Zone,2
11.081,Info,Arena,2,Exit_Zone,3
11.081,Info,Arena,2,Enter_Zone,4
11.148,Info,Arena,2,Exit_Zone,4
11.148,Info,Arena,2,Enter_Zone,2
11.148,Info,Arena,4,Exit_Zone,2
11.148,Info,Arena,4,Enter_Zone,4
11.448,Info,Arena,4,Exit_Zone,4
11.448,Info,Arena,4,Enter_Zone,1
11.681,Info,Arena,7,Exit_Zone,4
11.681,Info,Arena,7,Enter_Zone,1
12.081,Info,Arena,5,Exit_Zone,2
12.081,Info,Arena,5,Enter_Zone,4
12.348,Info,Arena,5,Exit_Zone,4
12.348,Info,Arena,5,Enter_Zone,3
13.248,Info,Arena,3,Exit_Zone,2
13.248,Info,Arena,3,Enter_Zone,4
13.348,Info,Arena,3,Exit_Zone,4
13.348,Info,Arena,3,Enter_Zone,3
13.781,Info,Arena,4,Exit_Zone,1
13.781,Info,Arena,4,Enter_Zone,4
14.048,Info,Arena,4,Exit_Zone,4
14.048,Info,Arena,4,Enter_Zone,2
14.148,Info,Arena,5,Exit_Zone,3
14.148,Info,Arena,5,Enter_Zone,4
14.181,Info,Arena,5,Exit_Zone,4
14.181,Info,Arena,5,Enter_Zone,2
14.181,Info,Arena,8,Exit_Zone,3
14.181,Info,Arena,8,Enter_Zone,4
14.414,Info,Arena,6,Exit_Zone,1
14.414,Info,Arena,6,Enter_Zone,4
14.514,Info,Arena,8,Exit_Zone,4
14.514,Info,Arena,8,Enter_Zone,3
14.881,Info,Arena,6,Exit_Zone,4
14.881,Info,Arena,6,Enter_Zone,1
14.981,Info,Arena,2,Exit_Zone,2
14.981,Info,Arena,2,Enter_Zone,4
15.147,Info,Arena,2,Exit_Zone,4
15.147,Info,Arena,2,Enter_Zone,1
16.014,Info,Arena,4,Exit_Zone,2
16.014,Info,Arena,4,Enter_Zone,4
16.181,Info,Arena,4,Exit_Zone,4
16.181,Info,Arena,4,Enter_Zone,3
17.181,Info,Arena,7,Exit_Zone,1
17.181,Info,Arena,7,Enter_Zone,4
17.414,Info,Arena,3,Exit_Zone,3
17.414,Info,Arena,3,Enter_Zone,2
17.681,Info,Arena,7,Exit_Zone,4
17.681,Info,Arena,7,Enter_Zone,1
17.747,Info,Arena,2,Exit_Zone,1
17.747,Info,Arena,2,Enter_Zone,4
17.981,Info,Arena,2,Exit_Zone,4
17.981,Info,Arena,2,Enter_Zone,3
18.114,Info,Arena,5,Exit_Zone,2
18.114,Info,Arena,5,Enter_Zone,4
18.581,Info,Arena,5,Exit_Zone,4
18.581,Info,Arena,5,Enter_Zone,1
19.58,Info,Arena,8,Exit_Zone,3
19.58,Info,Arena,8,Enter_Zone,4
19.747,Info,Arena,8,Exit_Zone,4
19.747,Info,Arena,8,Enter_Zone,2
20.447,Info,Arena,3,Exit_Zone,2
20.447,Info,Arena,3,Enter_Zone,4
20.514,Info,Arena,6,Exit_Zone,1
20.514,Info,Arena,6,Enter_Zone,4
20.547,Info,Arena,3,Exit_Zone,4
20.547,Info,Arena,3,Enter_Zone,3
20.714,Info,Arena,6,Exit_Zone,4
20.714,Info,Arena,6,Enter_Zone,3
20.814,Info,Arena,7,Exit_Zone,1
20.814,Info,Arena,7,Enter_Zone,4
21.08,Info,Arena,2,Exit_Zone,3
21.08,Info,Arena,2,Enter_Zone,4
21.18,Info,Arena,2,Exit_Zone,4
21.18,Info,Arena,2,Enter_Zone,2
21.38,Info,Arena,7,Exit_Zone,4
21.38,Info,Arena,7,Enter_Zone,2
21.447,Info,Arena,7,Exit_Zone,2
21.447,Info,Arena,7,Enter_Zone,4
21.514,Info,Arena,7,Exit_Zone,4
21.514,Info,Arena,7,Enter_Zone,2
22.047,Info,Arena,8,Exit_Zone,2
22.047,Info,Arena,8,Enter_Zone,4
22.314,Info,Arena,8,Exit_Zone,4
22.314,Info,Arena,8,Enter_Zone,3
22.447,Info,Arena,1,Exit_Zone,1
22.447,Info,Arena,1,Enter_Zone,4
22.514,Info,Arena,6,Exit_Zone,3
22.514,Info,Arena,6,Enter_Zone,4
22.747,Info,Arena,1,Exit_Zone,4
22.747,Info,Arena,1,Enter_Zone,2
22.814,Info,Arena,6,Exit_Zone,4
