0,Info,20/1/23 13:51,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,60 62 63 64 65 66 67 68,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
12.731,Info,Arena,1,Enter_Zone,1
12.731,Info,Arena,2,Enter_Zone,2
12.731,Info,Arena,4,Enter_Zone,2
12.731,Info,Arena,6,Enter_Zone,2
12.731,Info,Arena,7,Enter_Zone,2
12.731,Info,Arena,8,Enter_Zone,1
13.264,Info,Arena,3,Enter_Zone,2
13.331,Info,Arena,5,Enter_Zone,2
13.664,Info,Arena,8,Exit_Zone,1
13.664,Info,Arena,8,Enter_Zone,4
13.897,Info,Arena,5,Exit_Zone,2
13.897,Info,Arena,5,Enter_Zone,4
13.931,Info,Arena,5,Exit_Zone,4
13.931,Info,Arena,5,Enter_Zone,3
13.964,Info,Arena,8,Exit_Zone,4
13.964,Info,Arena,8,Enter_Zone,2
14.031,Info,Arena,1,Exit_Zone,1
14.031,Info,Arena,1,Enter_Zone,4
14.031,Info,Arena,3,Exit_Zone,2
14.031,Info,Arena,3,Enter_Zone,4
14.197,Info,Arena,3,Exit_Zone,4
14.197,Info,Arena,3,Enter_Zone,1
14.431,Info,Arena,1,Exit_Zone,4
14.431,Info,Arena,1,Enter_Zone,2
14.631,Info,Arena,8,Exit_Zone,2
14.631,Info,Arena,8,Enter_Zone,4
14.964,Info,Arena,4,Exit_Zone,2
14.964,Info,Arena,4,Enter_Zone,4
15.131,Info,Arena,8,Exit_Zone,4
15.131,Info,Arena,8,Enter_Zone,3
15.497,Info,Arena,4,Exit_Zone,4
15.497,Info,Arena,4,Enter_Zone,3
15.531,Info,Arena,3,Exit_Zone,1
15.531,Info,Arena,3,Enter_Zone,4
15.664,Info,Arena,3,Exit_Zone,4
15.664,Info,Arena,3,Enter_Zone,3
15.797,Info,Arena,7,Exit_Zone,2
15.797,Info,Arena,7,Enter_Zone,4
15.964,Info,Arena,7,Exit_Zone,4
15.964,Info,Arena,7,Enter_Zone,1
16.331,Info,Arena,5,Exit_Zone,3
16.331,Info,Arena,5,Enter_Zone,4
16.364,Info,Arena,5,Exit_Zone,4
16.364,Info,Arena,5,Enter_Zone,2
16.464,Info,Arena,8,Exit_Zone,3
16.464,Info,Arena,8,Enter_Zone,4
16.497,Info,Arena,8,Exit_Zone,4
16.497,Info,Arena,8,Enter_Zone,2
16.697,Info,Arena,2,Exit_Zone,2
16.697,Info,Arena,2,Enter_Zone,3
17.531,Info,Arena,4,Exit_Zone,3
17.531,Info,Arena,4,Enter_Zone,4
17.964,Info,Arena,7,Exit_Zone,1
17.964,Info,Arena,7,Enter_Zone,4
17.997,Info,Arena,7,Exit_Zone,4
17.997,Info,Arena,7,Enter_Zone,2
18.031,Info,Arena,4,Exit_Zone,4
18.031,Info,Arena,4,Enter_Zone,2
18.064,Info,Arena,4,Exit_Zone,2
18.064,Info,Arena,4,Enter_Zone,4
18.164,Info,Arena,4,Exit_Zone,4
18.164,Info,Arena,4,Enter_Zone,3
18.93,Info,Arena,5,Exit_Zone,2
18.93,Info,Arena,5,Enter_Zone,4
19.064,Info,Arena,5,Exit_Zone,4
19.064,Info,Arena,5,Enter_Zone,1
19.43,Info,Arena,2,Exit_Zone,3
19.43,Info,Arena,2,Enter_Zone,4
19.497,Info,Arena,2,Exit_Zone,4
19.497,Info,Arena,2,Enter_Zone,1
19.93,Info,Arena,7,Exit_Zone,2
19.93,Info,Arena,7,Enter_Zone,4
20.23,Info,Arena,7,Exit_Zone,4
20.23,Info,Arena,7,Enter_Zone,1
20.597,Info,Arena,8,Exit_Zone,2
20.597,Info,Arena,8,Enter_Zone,4
20.964,Info,Arena,8,Exit_Zone,4
20.964,Info,Arena,8,Enter_Zone,2
22.597,Info,Arena,3,Exit_Zone,3
22.597,Info,Arena,3,Enter_Zone,4
22.63,Info,Arena,8,Exit_Zone,2
22.63,Info,Arena,8,Enter_Zone,4
22.697,Info,Arena,8,Exit_Zone,4
22.697,Info,Arena,8,Enter_Zone,1
22.763,Info,Arena,3,Exit_Zone,4
22.763,Info,Arena,3,Enter_Zone,2
23.13,Info,Arena,1,Exit_Zone,2
23.13,Info,Arena,1,Enter_Zone,4
23.43,Info,Arena,1,Exit_Zone,4
23.43,Info,Arena,1,Enter_Zone,3
24.163,Info,Arena,5,Exit_Zone,1
24.163,Info,Arena,5,Enter_Zone,4
24.363,Info,Arena,5,Exit_Zone,4
24.363,Info,Arena,5,Enter_Zone,3
25.797,Info,Arena,8,Exit_Zone,1
25.797,Info,Arena,8,Enter_Zone,4
25.863,Info,Arena,2,Exit_Zone,1
25.863,Info,Arena,2,Enter_Zone,3
