36.434,Info,Arena,8,Exit_Zone,2
36.434,Info,Arena,8,Enter_Zone,4
36.547,Info,Arena,3,Exit_Zone,2
36.547,Info,Arena,3,Enter_Zone,4
36.616,Info,Arena,8,Exit_Zone,4
36.616,Info,Arena,8,Enter_Zone,3
36.796,Info,Arena,4,Exit_Zone,4
36.796,Info,Arena,4,Enter_Zone,1
36.83,Info,Arena,5,Exit_Zone,1
36.83,Info,Arena,5,Enter_Zone,4
36.867,Info,Arena,4,Exit_Zone,1
36.867,Info,Arena,4,Enter_Zone,4
36.867,Info,Arena,7,Exit_Zone,1
36.867,Info,Arena,7,Enter_Zone,4
36.901,Info,Arena,3,Exit_Zone,4
36.901,Info,Arena,3,Enter_Zone,3
37.042,Info,Arena,4,Exit_Zone,4
37.042,Info,Arena,4,Enter_Zone,3
37.18,Info,Arena,5,Exit_Zone,4
37.18,Info,Arena,5,Enter_Zone,3
37.314,Info,Arena,7,Exit_Zone,4
37.314,Info,Arena,7,Enter_Zone,2
38.764,Info,Arena,8,Exit_Zone,3
38.764,Info,Arena,8,Enter_Zone,4
38.796,Info,Arena,3,Exit_Zone,3
38.796,Info,Arena,3,Enter_Zone,4
38.968,Info,Arena,3,Exit_Zone,4
38.968,Info,Arena,3,Enter_Zone,2
39.071,Info,Arena,5,Exit_Zone,3
39.071,Info,Arena,5,Enter_Zone,4
39.211,Info,Arena,8,Exit_Zone,4
39.211,Info,Arena,8,Enter_Zone,2
39.318,Info,Arena,5,Exit_Zone,4
39.318,Info,Arena,5,Enter_Zone,2
39.423,Info,Arena,7,Exit_Zone,2
39.423,Info,Arena,7,Enter_Zone,4
39.909,Info,Arena,2,Exit_Zone,2
39.909,Info,Arena,2,Enter_Zone,4
39.909,Info,Arena,4,Exit_Zone,3
39.909,Info,Arena,4,Enter_Zone,4
39.909,Info,Arena,7,Exit_Zone,4
39.909,Info,Arena,7,Enter_Zone,3
40.087,Info,Arena,4,Exit_Zone,4
40.087,Info,Arena,4,Enter_Zone,2
40.403,Info,Arena,2,Exit_Zone,4
40.403,Info,Arena,2,Enter_Zone,1
40.403,Info,Arena,6,Exit_Zone,3
40.403,Info,Arena,6,Enter_Zone,4
40.777,Info,Arena,6,Exit_Zone,4
40.777,Info,Arena,6,Enter_Zone,2
41.127,Info,Arena,3,Exit_Zone,2
41.127,Info,Arena,3,Enter_Zone,4
41.522,Info,Arena,3,Exit_Zone,4
41.522,Info,Arena,3,Enter_Zone,3
42.241,Info,Arena,4,Exit_Zone,2
42.241,Info,Arena,4,Enter_Zone,4
42.6,Info,Arena,4,Exit_Zone,4
42.6,Info,Arena,4,Enter_Zone,3
42.6,Info,Arena,7,Exit_Zone,3
42.6,Info,Arena,7,Enter_Zone,4
42.997,Info,Arena,7,Exit_Zone,4
42.997,Info,Arena,7,Enter_Zone,1
43.029,Info,Arena,8,Exit_Zone,2
43.029,Info,Arena,8,Enter_Zone,4
43.587,Info,Arena,8,Exit_Zone,4
43.587,Info,Arena,8,Enter_Zone,3
43.722,Info,Arena,5,Exit_Zone,2
43.722,Info,Arena,5,Enter_Zone,4
43.758,Info,Arena,1,Exit_Zone,3
43.758,Info,Arena,1,Enter_Zone,4
43.923,Info,Arena,1,Exit_Zone,4
43.923,Info,Arena,1,Enter_Zone,2
43.96,Info,Arena,5,Exit_Zone,4
43.96,Info,Arena,5,Enter_Zone,1
44.94,Info,Arena,2,Exit_Zone,1
44.94,Info,Arena,2,Enter_Zone,4
45.307,Info,Arena,6,Exit_Zone,2
45.307,Info,Arena,6,Enter_Zone,4
45.373,Info,Arena,2,Exit_Zone,4
45.373,Info,Arena,2,Enter_Zone,3
45.542,Info,Arena,3,Exit_Zone,3
