0,Info,20/1/23 11:29,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,27 28 29 30 31 32 33 34,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
13.544,Info,Arena,2,Enter_Zone,2
13.544,Info,Arena,6,Enter_Zone,2
13.544,Info,Arena,7,Enter_Zone,2
13.644,Info,Arena,8,Enter_Zone,4
13.711,Info,Arena,8,Exit_Zone,4
13.711,Info,Arena,8,Enter_Zone,2
13.978,Info,Arena,3,Enter_Zone,3
14.144,Info,Arena,1,Enter_Zone,3
14.411,Info,Arena,5,Enter_Zone,1
14.411,Info,Arena,7,Exit_Zone,2
14.411,Info,Arena,7,Enter_Zone,4
14.511,Info,Arena,4,Enter_Zone,2
14.578,Info,Arena,7,Exit_Zone,4
14.578,Info,Arena,7,Enter_Zone,3
14.678,Info,Arena,1,Exit_Zone,3
14.678,Info,Arena,1,Enter_Zone,4
14.811,Info,Arena,1,Exit_Zone,4
14.811,Info,Arena,1,Enter_Zone,2
15.644,Info,Arena,2,Exit_Zone,2
15.644,Info,Arena,2,Enter_Zone,4
15.844,Info,Arena,2,Exit_Zone,4
15.844,Info,Arena,2,Enter_Zone,3
16.244,Info,Arena,2,Exit_Zone,3
16.244,Info,Arena,2,Enter_Zone,4
16.411,Info,Arena,2,Exit_Zone,4
16.411,Info,Arena,2,Enter_Zone,2
17.544,Info,Arena,8,Exit_Zone,2
17.544,Info,Arena,8,Enter_Zone,4
17.711,Info,Arena,8,Exit_Zone,4
17.711,Info,Arena,8,Enter_Zone,1
17.811,Info,Arena,6,Exit_Zone,2
17.811,Info,Arena,6,Enter_Zone,4
18.344,Info,Arena,6,Exit_Zone,4
18.344,Info,Arena,6,Enter_Zone,3
19.077,Info,Arena,1,Exit_Zone,2
19.077,Info,Arena,1,Enter_Zone,4
19.244,Info,Arena,1,Exit_Zone,4
19.244,Info,Arena,1,Enter_Zone,1
20.111,Info,Arena,6,Exit_Zone,3
20.111,Info,Arena,6,Enter_Zone,4
20.51,Info,Arena,6,Exit_Zone,4
20.51,Info,Arena,6,Enter_Zone,1
21.21,Info,Arena,7,Exit_Zone,3
21.21,Info,Arena,7,Enter_Zone,4
21.377,Info,Arena,7,Exit_Zone,4
21.377,Info,Arena,7,Enter_Zone,3
22.71,Info,Arena,6,Exit_Zone,1
22.71,Info,Arena,6,Enter_Zone,4
22.744,Info,Arena,1,Exit_Zone,1
22.744,Info,Arena,1,Enter_Zone,4
23.277,Info,Arena,1,Exit_Zone,4
23.277,Info,Arena,1,Enter_Zone,2
23.31,Info,Arena,4,Exit_Zone,2
23.31,Info,Arena,4,Enter_Zone,4
23.51,Info,Arena,4,Exit_Zone,4
23.51,Info,Arena,4,Enter_Zone,1
23.577,Info,Arena,6,Exit_Zone,4
23.577,Info,Arena,6,Enter_Zone,2
25.51,Info,Arena,4,Exit_Zone,1
25.51,Info,Arena,4,Enter_Zone,4
25.743,Info,Arena,4,Exit_Zone,4
25.743,Info,Arena,4,Enter_Zone,2
25.943,Info,Arena,7,Exit_Zone,3
25.943,Info,Arena,7,Enter_Zone,4
26.11,Info,Arena,7,Exit_Zone,4
26.11,Info,Arena,7,Enter_Zone,1
27.477,Info,Arena,8,Exit_Zone,1
27.477,Info,Arena,8,Enter_Zone,4
27.677,Info,Arena,8,Exit_Zone,4
27.677,Info,Arena,8,Enter_Zone,2
27.743,Info,Arena,8,Exit_Zone,2
27.743,Info,Arena,8,Enter_Zone,4
27.81,Info,Arena,8,Exit_Zone,4
27.81,Info,Arena,8,Enter_Zone,1
28.51,Info,Arena,7,Exit_Zone,1
28.51,Info,Arena,7,Enter_Zone,4
28.643,Info,Arena,7,Exit_Zone,4
28.643,Info,Arena,7,Enter_Zone,2
32.243,Info,Arena,7,Exit_Zone,2
32.243,Info,Arena,7,Enter_Zone,4
32.543,Info,Arena,7,Exit_Zone,4
32.543,Info,Arena,7,Enter_Zone,1
